"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
31;"admin.";"single";"secondary";"no";757;"no";"no";"cellular";3;"feb";343;2;-1;0;"unknown";"no"
45;"management";"single";"tertiary";"no";16;"no";"no";"cellular";31;"jul";59;2;-1;0;"unknown";"no"
42;"blue-collar";"married";"secondary";"no";-422;"no";"no";"cellular";9;"jul";31;1;-1;0;"unknown";"no"
45;"admin.";"married";"secondary";"no";248;"no";"no";"cellular";16;"jul";212;2;-1;0;"unknown";"no"
47;"technician";"married";"primary";"no";145;"yes";"no";"unknown";7;"may";157;6;-1;0;"unknown";"no"
60;"retired";"divorced";"secondary";"no";598;"no";"yes";"cellular";8;"jul";96;1;-1;0;"unknown";"no"
35;"management";"married";"tertiary";"no";949;"yes";"no";"unknown";27;"may";245;2;-1;0;"unknown";"no"
31;"technician";"single";"tertiary";"no";614;"no";"no";"cellular";11;"aug";72;4;-1;0;"unknown";"no"
33;"blue-collar";"married";"primary";"no";1209;"yes";"no";"cellular";16;"apr";700;1;-1;0;"unknown";"no"
50;"self-employed";"married";"tertiary";"no";202;"yes";"no";"cellular";15;"apr";107;1;148;4;"failure";"no"
51;"blue-collar";"married";"secondary";"no";1840;"yes";"no";"cellular";18;"aug";312;3;-1;0;"unknown";"no"
34;"technician";"married";"secondary";"no";114;"yes";"yes";"cellular";4;"jun";153;1;309;3;"other";"no"
56;"services";"married";"secondary";"no";-229;"no";"yes";"cellular";23;"jul";55;10;-1;0;"unknown";"no"
29;"services";"married";"secondary";"no";182;"yes";"no";"telephone";13;"may";38;3;-1;0;"unknown";"no"
31;"blue-collar";"married";"secondary";"no";401;"no";"no";"cellular";14;"aug";96;3;-1;0;"unknown";"no"
44;"technician";"divorced";"unknown";"no";759;"yes";"no";"unknown";23;"may";397;1;-1;0;"unknown";"no"
55;"retired";"married";"secondary";"no";4194;"no";"yes";"telephone";30;"jul";208;3;-1;0;"unknown";"no"
35;"student";"single";"unknown";"no";0;"no";"no";"telephone";28;"jan";122;3;-1;0;"unknown";"no"
36;"technician";"married";"tertiary";"no";629;"yes";"yes";"cellular";29;"dec";109;1;246;1;"failure";"no"
54;"retired";"married";"secondary";"no";153;"yes";"yes";"unknown";26;"may";74;1;-1;0;"unknown";"no"
32;"management";"married";"tertiary";"no";553;"yes";"no";"cellular";22;"jul";72;1;-1;0;"unknown";"no"
36;"management";"divorced";"tertiary";"no";1057;"no";"no";"cellular";5;"feb";383;2;-1;0;"unknown";"no"
60;"retired";"married";"secondary";"no";78;"yes";"no";"unknown";12;"may";113;3;-1;0;"unknown";"no"
32;"technician";"single";"secondary";"no";-28;"no";"yes";"unknown";4;"jul";400;1;-1;0;"unknown";"no"
57;"management";"married";"tertiary";"no";929;"no";"no";"cellular";19;"aug";387;8;-1;0;"unknown";"no"
34;"blue-collar";"married";"primary";"no";428;"yes";"no";"cellular";18;"may";59;2;-1;0;"unknown";"no"
27;"student";"single";"secondary";"no";268;"yes";"no";"cellular";13;"may";528;1;358;2;"failure";"no"
52;"management";"single";"tertiary";"no";83;"no";"no";"cellular";26;"aug";1223;6;-1;0;"unknown";"yes"
45;"admin.";"divorced";"unknown";"no";998;"yes";"no";"telephone";30;"jul";38;2;-1;0;"unknown";"no"
58;"admin.";"single";"secondary";"no";2223;"no";"no";"cellular";4;"dec";1139;2;114;1;"success";"no"
39;"blue-collar";"single";"primary";"no";6;"yes";"no";"cellular";19;"nov";286;2;-1;0;"unknown";"no"
48;"blue-collar";"single";"secondary";"no";312;"yes";"yes";"cellular";3;"feb";369;2;-1;0;"unknown";"no"
36;"management";"single";"secondary";"no";0;"no";"no";"cellular";13;"aug";333;5;-1;0;"unknown";"no"
31;"technician";"single";"secondary";"no";691;"yes";"no";"cellular";8;"may";198;1;-1;0;"unknown";"no"
41;"management";"married";"tertiary";"no";771;"yes";"no";"cellular";26;"aug";106;8;-1;0;"unknown";"no"
30;"self-employed";"single";"secondary";"no";192;"no";"no";"cellular";22;"jul";423;1;-1;0;"unknown";"no"
57;"retired";"married";"tertiary";"no";0;"no";"no";"cellular";12;"aug";116;4;-1;0;"unknown";"no"
29;"admin.";"single";"secondary";"no";1070;"yes";"no";"unknown";19;"may";30;1;357;1;"other";"yes"
29;"services";"divorced";"secondary";"no";84;"yes";"no";"cellular";13;"apr";1101;2;-1;0;"unknown";"yes"
30;"management";"single";"tertiary";"no";2;"no";"no";"cellular";16;"jun";102;1;85;1;"failure";"no"
44;"management";"married";"tertiary";"no";1242;"yes";"no";"cellular";6;"aug";384;6;-1;0;"unknown";"no"
33;"student";"single";"unknown";"no";5969;"no";"no";"cellular";4;"sep";156;2;127;8;"failure";"no"
56;"admin.";"divorced";"secondary";"no";3337;"yes";"no";"telephone";17;"nov";99;3;-1;0;"unknown";"no"
26;"services";"single";"secondary";"no";1347;"no";"no";"telephone";18;"jun";280;6;92;5;"other";"yes"
52;"technician";"married";"secondary";"no";64;"no";"no";"telephone";29;"aug";20;2;-1;0;"unknown";"no"
32;"management";"single";"secondary";"no";249;"yes";"no";"unknown";2;"jun";258;1;-1;0;"unknown";"no"
36;"technician";"single";"secondary";"no";0;"no";"no";"cellular";29;"aug";85;6;-1;0;"unknown";"no"
26;"blue-collar";"married";"secondary";"no";128;"no";"no";"unknown";4;"jul";355;1;-1;0;"unknown";"no"
37;"blue-collar";"married";"secondary";"no";196;"yes";"no";"unknown";5;"jun";66;3;-1;0;"unknown";"no"
34;"technician";"married";"secondary";"no";351;"yes";"no";"cellular";18;"jul";467;1;-1;0;"unknown";"no"
26;"services";"single";"secondary";"no";5533;"yes";"no";"cellular";7;"may";582;2;283;4;"failure";"no"
32;"services";"married";"secondary";"no";38;"yes";"no";"cellular";15;"may";744;1;-1;0;"unknown";"yes"
30;"management";"single";"tertiary";"yes";35;"no";"no";"cellular";30;"jul";185;4;-1;0;"unknown";"no"
27;"technician";"single";"secondary";"no";235;"yes";"no";"cellular";12;"may";13;5;-1;0;"unknown";"no"
42;"admin.";"single";"secondary";"no";30;"yes";"no";"cellular";4;"feb";98;1;266;3;"failure";"no"
33;"blue-collar";"single";"primary";"no";92;"yes";"no";"unknown";9;"may";127;1;-1;0;"unknown";"no"
37;"blue-collar";"married";"secondary";"no";67;"no";"no";"unknown";3;"jun";45;2;-1;0;"unknown";"no"
45;"blue-collar";"married";"secondary";"no";4022;"yes";"no";"cellular";29;"jan";244;3;-1;0;"unknown";"no"
36;"entrepreneur";"married";"tertiary";"no";3057;"no";"no";"unknown";16;"jun";2769;4;-1;0;"unknown";"yes"
39;"management";"single";"tertiary";"no";0;"yes";"no";"cellular";12;"may";561;4;369;3;"failure";"no"
33;"management";"single";"tertiary";"no";349;"no";"no";"cellular";22;"aug";182;1;-1;0;"unknown";"no"
47;"services";"married";"secondary";"no";2322;"no";"no";"cellular";22;"aug";618;1;-1;0;"unknown";"no"
49;"entrepreneur";"married";"secondary";"no";167;"yes";"yes";"unknown";6;"may";198;3;-1;0;"unknown";"no"
46;"management";"divorced";"secondary";"no";558;"no";"no";"cellular";19;"aug";126;6;-1;0;"unknown";"no"
31;"services";"married";"secondary";"no";-230;"yes";"yes";"cellular";16;"jul";715;1;-1;0;"unknown";"no"
43;"unemployed";"divorced";"secondary";"no";4094;"yes";"no";"cellular";21;"nov";63;1;-1;0;"unknown";"no"
30;"blue-collar";"single";"secondary";"yes";239;"yes";"no";"unknown";21;"may";412;1;-1;0;"unknown";"yes"
43;"management";"divorced";"tertiary";"no";497;"no";"no";"cellular";13;"may";66;1;363;22;"failure";"no"
42;"blue-collar";"married";"secondary";"no";179;"yes";"no";"cellular";17;"nov";96;1;-1;0;"unknown";"no"
30;"admin.";"single";"tertiary";"no";305;"no";"no";"cellular";30;"apr";633;1;85;2;"success";"yes"
33;"management";"single";"tertiary";"no";-67;"yes";"no";"unknown";5;"may";364;1;-1;0;"unknown";"no"
41;"admin.";"married";"secondary";"no";4539;"no";"no";"unknown";30;"may";298;3;-1;0;"unknown";"no"
29;"blue-collar";"single";"secondary";"no";770;"yes";"no";"cellular";17;"apr";341;1;-1;0;"unknown";"no"
38;"unemployed";"married";"secondary";"no";-673;"yes";"no";"unknown";26;"may";364;1;-1;0;"unknown";"no"
29;"technician";"married";"tertiary";"no";858;"yes";"no";"cellular";12;"jun";234;7;330;1;"failure";"no"
80;"housemaid";"married";"primary";"no";0;"no";"no";"cellular";23;"feb";639;1;189;1;"failure";"yes"
38;"management";"single";"tertiary";"no";5244;"no";"no";"cellular";8;"aug";310;4;-1;0;"unknown";"no"
36;"blue-collar";"divorced";"primary";"no";117;"yes";"no";"unknown";2;"jun";123;4;-1;0;"unknown";"no"
38;"self-employed";"married";"tertiary";"no";846;"no";"no";"cellular";2;"jun";253;1;-1;0;"unknown";"no"
44;"management";"married";"secondary";"yes";0;"yes";"no";"cellular";11;"jul";96;2;-1;0;"unknown";"no"
31;"management";"married";"tertiary";"no";1331;"no";"no";"cellular";30;"apr";297;1;86;3;"success";"yes"
31;"services";"single";"secondary";"no";31;"yes";"yes";"unknown";26;"may";501;2;-1;0;"unknown";"no"
57;"admin.";"divorced";"primary";"no";179;"yes";"no";"cellular";15;"may";67;1;368;2;"failure";"no"
37;"blue-collar";"married";"primary";"no";543;"yes";"no";"unknown";21;"may";281;1;-1;0;"unknown";"no"
50;"blue-collar";"married";"secondary";"no";253;"yes";"yes";"cellular";5;"may";475;2;-1;0;"unknown";"no"
60;"retired";"married";"primary";"no";71188;"no";"no";"cellular";6;"oct";205;1;-1;0;"unknown";"no"
51;"management";"married";"tertiary";"no";5108;"yes";"no";"cellular";8;"oct";272;1;102;8;"other";"no"
48;"blue-collar";"married";"secondary";"no";1738;"yes";"no";"cellular";15;"apr";349;1;-1;0;"unknown";"no"
42;"blue-collar";"married";"primary";"no";-97;"yes";"no";"cellular";3;"feb";216;4;271;5;"failure";"no"
36;"blue-collar";"married";"secondary";"no";199;"yes";"no";"cellular";9;"jul";183;1;-1;0;"unknown";"no"
43;"management";"married";"tertiary";"no";489;"yes";"no";"cellular";8;"may";130;1;172;2;"other";"no"
31;"admin.";"married";"primary";"no";355;"yes";"yes";"unknown";4;"jun";61;6;-1;0;"unknown";"no"
49;"technician";"single";"secondary";"no";-97;"yes";"no";"unknown";6;"jun";92;2;-1;0;"unknown";"no"
35;"management";"divorced";"tertiary";"no";473;"no";"yes";"cellular";5;"aug";37;2;-1;0;"unknown";"no"
44;"entrepreneur";"married";"secondary";"no";6649;"yes";"no";"cellular";19;"nov";354;2;-1;0;"unknown";"no"
34;"self-employed";"married";"tertiary";"no";263;"no";"no";"cellular";4;"may";203;1;78;8;"other";"no"
46;"blue-collar";"married";"secondary";"no";781;"no";"no";"unknown";13;"may";152;1;-1;0;"unknown";"no"
49;"blue-collar";"married";"primary";"no";1032;"yes";"no";"unknown";2;"jun";41;5;-1;0;"unknown";"no"
